b-last,b-avg,b-min,b-max,c-last,c-avg,c-min,c-max,d-last,d-avg,d-min,d-max,e-last,e-avg,e-min,e-max,e2e-last,e2e-avg,e2e-min,e2e-max
0,0.0,0,0,337,291.4,121,554,1,1.1,0,5,122,97.6,77,249,460,390.0,206,665
0,0.0,0,0,353,292.3,121,554,1,1.1,0,5,85,97.4,77,249,439,390.8,206,665
0,0.0,0,0,113,289.6,113,554,1,1.1,0,5,96,97.4,77,249,210,388.0,206,665
0,0.0,0,0,380,290.9,113,554,1,1.1,0,5,95,97.3,77,249,476,389.3,206,665
0,0.0,0,0,177,289.2,113,554,0,1.1,0,5,96,97.3,77,249,273,387.6,206,665
0,0.0,0,0,246,288.6,113,554,1,1.1,0,5,88,97.2,77,249,335,386.8,206,665
0,0.0,0,0,234,287.8,113,554,1,1.1,0,5,100,97.2,77,249,335,386.1,206,665
0,0.0,0,0,984,297.8,113,984,1,1.1,0,5,86,97.0,77,249,1071,395.9,206,1071
0,0.0,0,0,356,298.6,113,984,1,1.1,0,5,86,96.9,77,249,443,396.5,206,1071
0,0.0,0,0,236,297.7,113,984,1,1.1,0,5,96,96.9,77,249,333,395.6,206,1071
0,0.0,0,0,235,296.8,113,984,1,1.1,0,5,112,97.1,77,249,348,395.0,206,1071
0,0.0,0,0,250,296.2,113,984,1,1.1,0,5,99,97.1,77,249,350,394.4,206,1071
0,0.0,0,0,265,295.8,113,984,1,1.1,0,5,85,96.9,77,249,351,393.8,206,1071
0,0.0,0,0,245,295.1,113,984,2,1.1,0,5,89,96.8,77,249,336,393.0,206,1071
0,0.0,0,0,332,295.6,113,984,2,1.1,0,5,94,96.8,77,249,428,393.5,206,1071
0,0.0,0,0,382,296.7,113,984,1,1.1,0,5,234,98.6,77,249,617,396.4,206,1071
0,0.0,0,0,361,297.5,113,984,2,1.1,0,5,98,98.6,77,249,461,397.2,206,1071
0,0.0,0,0,129,295.4,113,984,1,1.1,0,5,87,98.4,77,249,217,394.9,206,1071
0,0.0,0,0,163,293.8,113,984,1,1.1,0,5,95,98.4,77,249,259,393.2,206,1071
0,0.0,0,0,259,293.4,113,984,1,1.1,0,5,82,98.2,77,249,342,392.6,206,1071
0,0.0,0,0,323,293.7,113,984,2,1.1,0,5,105,98.3,77,249,430,393.1,206,1071
0,0.0,0,0,306,293.9,113,984,1,1.1,0,5,92,98.2,77,249,399,393.1,206,1071
